base_input,output
飲 料,飲料・アルコール
アルコ ール,飲料・アルコール
食 品,食品・菓子・外食
外 食,食品・菓子・外食
菓 子,食品・菓子・外食
小 売 / コ ン ビ ニ,小売・コンビニ
化 粧 品 / 美 容,化粧品・美容・ヘアケア
ヘ ア ケ ア,化粧品・美容・ヘアケア
ア パ レ ル / ア ク セ サ リ,アパレル・アクセサリ
医 薬 品 / 医 療 用 品,医薬品・医薬部外品・健康食品
メ ガ ネ / コ ン タ ク ト,メガネ・コンタクト
生 活 用 品,バス・トイレタリー・生活用品
家 電 / 電 子 機 器,家電・電子機器
ゲ ー ム / お も ちゃ / 楽 器,ゲーム・おもちゃ・楽器
レ ジ ャ ー / エ ン タ メ / ギ ャ ン ブ ル,レジャー・エンタメ・ギャンブル
不 動 産 / 住 宅 関 連,不動産・住宅関連
自 動 車,自動車・電車・航空
電 車 / 航 空,自動車・電車・航空
金 融 / 保 険,金融・保険（決済・クレジットカード含む）
教 育,教育
人 材 派 遣 / 求 人,人材派遣・求人
運 輸 / 運 送,運輸・運送
通 信,通信
エ ネ ル ギ ー / 公 共 イ ン フ ラ,エネルギー・公共インフラ
介 護 / 福 祉,介護・福祉
官 公 庁 / 団 体,官公庁・団体
そ の 他,その他
